ID,NAME,TYPE,,
1,lycee,school,,
2,les sophistes,school,,
3,nouvelle academie,school,,
4,ecole milesienne,school,,
5,academie,school,,
6,cyneraisme,school,,
7,ecole de chartres,school,,
8,ecole du portique,school,,
9,ecole eleatique,school,,
10,ecole ionniene,school,,
11,ecole megarique,school,,
12,ecole milesienne,school,,
13,ecole peripatetique,school,,
14,le jardin,school,,
15,ecole pythagoricienne,school,,
16,Advaita Vedanta,theory,,
17,Aristotelisme,theory,,
18,Atheisme,theory,,
19,Atomisme,theory,,
20,Augustinisme,theory,,
21,Cartesianisme,theory,,
22,Confucianisme,theory,,
23,Cynisme,theory,,
24,Determinisme,theory,,
25,Dualisme,theory,,
26,Empirisme,theory,,
27,Epicurisme,theory,,
28,Existentialisme,theory,,
29,Hedonisme,theory,,
30,Humanisme,theory,,
31,Idealisme,theory,,
32,L'ecole D'Alexandrie,theory,,
33,Liberalisme,theory,,
34,Materialisme,theory,,
35,Metaphysique,theory,,
36,Moisme,theory,,
37,Monisme,theory,,
38,Neoplatonisme,theory,,
39,Nihilisme,theory,,
40,Nominalisme,theory,,
41,Ontologie,theory,,
42,Platonisme,theory,,
43,Positivisme,theory,,
44,Pragmatisme,theory,,
45,Rationalisme,theory,,
46,Realisme,theory,,
47,Scepticisme,theory,,
48,Scolastique,theory,,
49,Stoicisme,theory,,
50,Taoisme,theory,,
51,Thomisme,theory,,
52,Xuanxue,theory,,
